DefectId, FileType, DefectOrderInFlt, Sx, Sy, Length, BoxDist,Bx, By, Diameter, Obj Width, Obj Height, BClass, Col, Row, iX, iY, width, height, EdgeX, EdgeY, SClass, OClass, ClusterId, GroupId, Zone, Area, PMObjectsNb, PMAbsoluteMicArea, PMProximityX, PMProximityY,GroupArea,GroupLength,GroupEdgeDist,BumpAvgD,Degrees,Recipe,ImageName,ImageType,PixelSize,ImageX,ImageY,RefPixelSize,RefImageX,RefImageY
0,surface.flt,0,152373.26,175085.39,14.66,0.00,0.00,0.00,0.00,0.00,0.00,0,11,16,10374.26,613.39,14.66,5.64,2527.41,610.57,2,1,-1,-1,9,40.716288,-1,-1,-1,-1,0.00,0.00,610.57,0.00,-0.007,1,152375.175085.c.1440709828.1.jpeg,C,0.69,690.000000000629,518.000000000251,1.128,9195.48784790505,543.695862389791
1,surface.flt,1,248224.88,270055.49,15.49,0.00,0.00,0.00,0.00,0.00,0.00,0,19,24,2953.88,8347.49,11.28,11.28,2948.24,2551.37,2,1,-1,-1,9,57.25728,-1,-1,-1,-1,0.00,0.00,2551.37,0.00,-0.007,1,248222.270055.c.581300899.1.jpeg,C,0.69,689.999999999832,517.999999999916,1.128,2618.24835990723,7399.00830274176
2,surface.flt,2,26164.93,131598.85,26.26,0.00,0.00,0.00,0.00,0.00,0.00,0,2,12,346.93,744.85,21.68,24.09,336.09,732.80,2,1,-1,-1,63,272.754207,-1,-1,-1,-1,0.00,0.00,336.09,0.00,-0.008,2,26163.131595.c.67609716.2.jpeg,C,0.69,689.999999999916,518.000000000545,1.128,307.511569799408,660.214951589859
3,surface.flt,3,26166.14,131937.24,22.98,0.00,0.00,0.00,0.00,0.00,0.00,0,2,12,348.14,1083.24,19.27,21.68,338.50,1072.40,2,1,-1,-1,63,261.147645,-1,-1,-1,-1,0.00,0.00,338.50,0.00,-0.008,2,26166.131934.c.-154061261.2.jpeg,C,0.69,689.999999999937,517.999999999539,1.128,308.578992263584,960.160651906927
4,surface.flt,4,32081.99,172087.42,13.16,0.00,0.00,0.00,0.00,0.00,0.00,0,2,15,6263.99,8519.92,7.23,12.04,6260.38,2378.56,2,1,-1,-1,63,69.639372,-1,-1,-1,-1,0.00,0.00,2378.56,0.00,-0.006,2,32079.172085.c.1741714144.2.jpeg,C,0.69,689.999999999921,517.999999999455,1.128,5552.24395633099,7551.84196404342
5,surface.flt,5,26165.75,153742.22,12.63,0.00,0.00,0.00,0.00,0.00,0.00,0,2,14,347.75,1079.22,9.64,9.64,342.93,1074.41,2,1,-1,-1,63,87.049215,-1,-1,-1,-1,0.00,0.00,342.93,0.00,-0.008,2,26164.153740.c.928396196.2.jpeg,C,0.69,690.000000000115,517.999999999455,1.128,308.237271371715,956.598210359438
6,surface.flt,6,31464.55,161368.39,12.23,0.00,0.00,0.00,0.00,0.00,0.00,0,2,14,5646.55,8705.39,12.04,7.23,5640.53,2195.50,2,1,-1,-1,63,69.639372,-1,-1,-1,-1,0.00,0.00,2195.50,0.00,-0.008,2,31467.161366.c.-873880577.2.jpeg,C,0.69,690.000000000047,517.999999999665,1.128,5004.96082094302,7716.24046725514
7,surface.flt,7,30320.51,162043.98,14.46,0.00,0.00,0.00,0.00,0.00,0.00,0,2,14,4502.51,9380.98,12.04,14.45,4496.48,1516.30,2,1,-1,-1,63,98.655777,-1,-1,-1,-1,0.00,0.00,1516.30,0.00,-0.008,2,30316.162042.c.311461136.2.jpeg,C,0.69,690.000000000016,517.999999999874,1.128,3990.90947997623,8315.06444546822
8,surface.flt,8,31570.27,155137.40,12.23,0.00,0.00,0.00,0.00,0.00,0.00,0,2,14,5752.27,2474.40,9.64,12.04,5747.45,2468.38,2,1,-1,-1,63,75.442653,-1,-1,-1,-1,0.00,0.00,2468.38,0.00,-0.008,2,31566.155135.c.-1724503200.2.jpeg,C,0.69,690.000000000047,517.999999998994,1.128,5098.66683247585,2193.24720397623
9,surface.flt,9,32755.51,163718.54,13.16,0.00,0.00,0.00,0.00,0.00,0.00,0,2,15,6937.51,151.04,9.64,12.04,5966.67,145.01,2,1,-1,-1,63,81.245934,-1,-1,-1,-1,0.00,0.00,145.01,0.00,-0.006,2,32754.163716.c.324461848.2.jpeg,C,0.69,689.999999999979,518.000000000168,1.128,6149.23610879771,133.875840512513
11,surface.flt,11,27280.85,139799.36,12.23,0.00,0.00,0.00,0.00,0.00,0.00,0,2,12,1462.85,8945.36,7.23,12.04,1459.24,1953.12,2,1,-1,-1,63,63.836091,-1,-1,-1,-1,0.00,0.00,1459.24,0.00,-0.008,2,27277.139795.c.-689808383.2.jpeg,C,0.69,689.999999999963,518.000000000754,1.128,1296.63831689806,7928.94588171584
12,surface.flt,12,29814.46,140099.73,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0,2,12,3996.46,9245.73,9.64,14.45,3991.64,1651.55,2,1,-1,-1,63,81.245934,-1,-1,-1,-1,0.00,0.00,1651.55,0.00,-0.008,2,29814.140098.c.-305331072.2.jpeg,C,0.69,689.999999999911,517.999999999916,1.128,3542.36496867245,8195.18258005884
13,surface.flt,13,27852.88,151996.45,13.16,0.00,0.00,0.00,0.00,0.00,0.00,0,2,13,2034.88,10237.95,12.04,7.23,2028.86,662.93,2,1,-1,-1,63,75.442653,-1,-1,-1,-1,0.00,0.00,662.93,0.00,-0.008,2,27853.151993.c.-782797117.2.jpeg,C,0.69,690.000000000021,518.000000000419,1.128,1803.67077377008,9074.66882665177
14,surface.flt,14,26952.10,152381.82,14.33,0.00,0.00,0.00,0.00,0.00,0.00,0,2,13,1134.10,10623.32,12.04,12.04,1128.08,275.16,2,1,-1,-1,63,87.049215,-1,-1,-1,-1,0.00,0.00,275.16,0.00,-0.008,2,26952.152378.c.533983132.2.jpeg,C,0.69,690.000000000079,517.999999999832,1.128,1005.23877056676,9416.24400139006
15,surface.flt,15,27525.34,152919.20,12.23,0.00,0.00,0.00,0.00,0.00,0.00,0,2,14,1707.34,256.20,7.23,12.04,1703.73,250.18,2,1,-1,-1,63,58.03281,-1,-1,-1,-1,0.00,0.00,250.18,0.00,-0.008,2,27524.152918.c.1194581235.2.jpeg,C,0.69,690.000000000037,517.999999999246,1.128,1513.34397100163,227.092320074429
16,surface.flt,16,33989.57,183743.00,12.23,0.00,0.00,0.00,0.00,0.00,0.00,0,2,16,8171.57,9271.00,7.23,12.04,4733.81,1627.48,2,1,-1,-1,63,58.03281,-1,-1,-1,-1,0.00,0.00,1627.48,0.00,-0.007,2,33990.183740.c.1915258471.2.jpeg,C,0.69,690.000000000031,518.000000000754,1.128,7243.07827895352,8217.58139932378
18,surface.flt,18,31712.37,139565.04,12.63,0.00,0.00,0.00,0.00,0.00,0.00,0,2,12,5894.37,8711.04,9.64,9.64,5889.55,2188.64,2,1,-1,-1,63,69.639372,-1,-1,-1,-1,0.00,0.00,2188.64,0.00,-0.008,2,31715.139562.c.-1556879161.2.jpeg,C,0.69,689.999999999911,517.999999999539,1.128,5224.62277221313,7721.24702510945
